Specification,NetworkFile,Epsilon,Delta,TimeTaken,Counterexample,FairRegion,FairRegionPercent,DebugCurRegion,JSMADimension,DeepimportanceDimension
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,10.528999328613281,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,10.690234422683716,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,10.844297170639038,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,10.985712051391602,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,11.082762002944946,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,11.303888082504272,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,11.436085224151611,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,11.544067144393921,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,11.664825201034546,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,11.786567211151123,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,11.932356357574463,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,12.072524309158325,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,12.187073230743408,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,12.260968446731567,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,12.344041585922241,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,12.480121850967407,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,12.56445860862732,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,12.729345560073853,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,12.843310594558716,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,12.915896654129028,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,13.049657583236694,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,13.244001388549805,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,13.334311246871948,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,13.467957258224487,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,13.644481420516968,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,13.7549307346344,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,14.085535526275635,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,14.291180610656738,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,14.372284650802612,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,14.581794500350952,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,14.708253383636475,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,14.915621280670166,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,15.047333240509033,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,15.158730268478394,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,15.319188356399536,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,15.427684545516968,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,15.572489261627197,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,15.651626348495483,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,15.772334337234497,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,16.08250665664673,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,16.166786670684814,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,16.307766437530518,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,16.488741397857666,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,16.58410406112671,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,16.68530511856079,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,16.790532112121582,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,16.905757904052734,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,17.015114784240723,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,17.109854698181152,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,17.2985360622406,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,17.451390981674194,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,17.570196866989136,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,17.68310284614563,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,17.825296640396118,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,17.95015859603882,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,18.06561255455017,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,18.233786821365356,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,18.479084730148315,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,18.87533974647522,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,18.994085550308228,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.085267543792725,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.168302536010742,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.282046794891357,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.374778985977173,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.5474750995636,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.690943956375122,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.945029735565186,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,20.07215189933777,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,20.205195903778076,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,20.315040826797485,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,20.523241996765137,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,20.65652084350586,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,20.775744915008545,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,20.916274785995483,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,21.070109844207764,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,21.19701099395752,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,21.305790662765503,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,21.418458461761475,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,21.52966332435608,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,21.61918616294861,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,21.71490716934204,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,21.887819051742554,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,21.981046199798584,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,22.12110733985901,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,22.407264471054077,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,22.527693510055542,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,22.63598370552063,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,22.770813703536987,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,22.880976676940918,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,22.982523679733276,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,23.06764554977417,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,23.1864914894104,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,23.288033723831177,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,23.377895832061768,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,23.497500896453857,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,23.58343267440796,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,23.6697895526886,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,23.77406144142151,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,23.858142375946045,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,23.9639253616333,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,24.082815170288086,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,24.17162299156189,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,24.332334280014038,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,24.440908432006836,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,24.545084714889526,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,24.658247709274292,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,24.81014394760132,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,24.904309034347534,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,25.015225172042847,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,25.112746238708496,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,25.22327423095703,[],[],0,,,
