Specification,NetworkFile,Epsilon,Delta,TimeTaken,Counterexample,FairRegion,FairRegionPercent
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,17.723058700561523,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,17.937065601348877,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,18.1923725605011,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,18.44025945663452,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,18.68161654472351,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,18.930317640304565,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.172740697860718,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.426969528198242,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.647722721099854,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.90505075454712,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,20.16551971435547,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,20.465592622756958,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,20.734416484832764,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,21.001664400100708,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,21.351203441619873,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,21.61024045944214,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,21.890657663345337,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,22.090999364852905,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,22.336698055267334,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,22.583843231201172,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,22.806955099105835,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,23.050726890563965,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,23.268040895462036,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,23.51940608024597,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,23.768200874328613,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,24.04471468925476,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,24.29653263092041,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,24.8170645236969,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,25.831982374191284,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,27.88100028038025,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,28.889597177505493,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,29.382490158081055,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,29.81808114051819,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,30.376934051513672,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,30.80430817604065,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,31.154048204421997,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,31.498897552490234,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,31.83808946609497,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,32.27092933654785,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,32.62598657608032,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,32.92456555366516,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,33.13642764091492,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,33.39838767051697,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,33.704301834106445,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,33.92457413673401,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,34.184293031692505,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,34.433050870895386,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,34.71137595176697,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,35.01323580741882,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,35.28405165672302,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,35.537596464157104,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,35.83115243911743,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,36.093204498291016,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,36.37747836112976,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,36.64158535003662,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,36.90099835395813,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,37.16742968559265,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,37.40997242927551,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,37.66294860839844,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,37.86329174041748,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,38.110896825790405,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,38.35263967514038,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,38.56459188461304,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,38.80760884284973,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,39.10045075416565,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,39.42581558227539,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,39.683576345443726,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,39.932549238204956,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,40.18674921989441,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,40.469338178634644,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,40.71205735206604,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,41.00667762756348,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,41.26937460899353,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,41.48628067970276,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,41.74160671234131,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,42.02313446998596,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,42.273441553115845,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,42.529287576675415,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,42.796823263168335,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,43.01919221878052,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,43.2870979309082,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,43.82841897010803,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,44.1519558429718,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,44.36066293716431,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,44.64186692237854,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,44.92899799346924,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,45.21851682662964,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,45.620938777923584,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,45.909677028656006,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,46.1171669960022,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,46.368874073028564,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,46.661898136138916,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,46.949960231781006,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,47.201460123062134,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,47.44584512710571,[],[],0
